generated,expected,generated_md,original_md
"MD0) The truth is that deep graft led to the formation of a Potemkin army, according to the Potemkin army.",The truth is that deep graft led to the formation of a Potemkin army.,"MD0) The truth is that deep graft led to the formation of a Potemkin army, according to the Potemkin army. (MD0)",(MD0)The reality is that deep corruption led to a Potemkin army.(MD0)
We have initial reports of strikes in the Russian Federation.,We have initial reports of strikes in the Russian Federation.,(MD0) We have initial reports of strikes in the Russian Federation. (MD0),(MD0)We have initial reports of strikes within the Russian Federation.(MD0)
"These are impossible to quantify, so use the right amount of salt you need and mainly skepticism.","These are impossible to quantify, so use the right amount of salt you need and skepticism in general.","(MD0) These are impossible to quantify, so use the right amount of salt you need and mainly skepticism. (MD0)","(MD0)These are impossible to confirm, so use the proper amount of salt you need, and chiefly skepticism.(MD0)"
"However, some of this may be happening right now.","However, some of this may be ongoing.","(MD0)However, some of this may be happening right now. (MD0)","(MD0)However, some of this is likely already happening.(MD0)"
The middle class is also starting to feel this way.,The middle class is also beginning to feel this way.,(MD0) The middle class is also starting to feel this way. (MD0),(MD0)The middle class is also starting to feel this.(MD0)
The buckwheat and sugar fermentation is starting,Buckwheat and sugar rationing is underway.,(MD0) The buckwheat and sugar fermentation is starting (MD0),(MD0)Rationing of buckwheat and sugar is starting.(MD0)
"When you first start to see buckwheat rationed, that's a bad sign.","If you start to see buckwheat rationed, that's a bad sign.","(MD0) When you first start to see buckwheat rationed, that's a bad sign. (MD0)","(MD0)When you start to see buckwheat rationed, that’s a terrible indicator.(MD0)"
"Butchers haven't lost a lot of purchasing power with salaries that were low to begin with, which is unfortunate.","However, they have lost a lot of purchasing power with salaries that were low to begin with.","(MD0) Butchers haven't lost a lot of purchasing power with salaries that were low to begin with, which is unfortunate.","(MD0)But for the working class, they have lost a lot of buying power with salaries that were low to begin with.(MD0)"
The caskets are starting to arrive home.,The caskets are starting to arrive home.,(MD0) The caskets are starting to arrive home. (MD0),(MD0)The caskets are starting to come home.(MD0)
This will add to the growing outrage since I know no one of the elite is in uniform or near any front line.,"Since I can't be in uniform or near any front line, I'm sure no one of the elite is anywhere near to being in uniform.",(MD0) This will add to the growing outrage since I know no one of the elite is in uniform or near any front line. (MD0),"(MD0)This will add to the seething anger since I guarantee no child of the elite is anywhere close to being in uniform, or close to any front line.(MD0)"
This is when we see the possibility of another revolution and the Russian Federation's further balkanization.,This is when we see the possibility of another revolution and the Russian Federation's further balkanization.,(MD0) This is when we see the possibility of another revolution and the Russian Federation's further balkanization. (MD0),(MD0)This is when we enter the prospect of another revolution and the further balkanization of the Russian Federation.(MD0)
"At the end of the first world war, we saw a military that was poorly prepared and led.","At the end of the first world war, we saw a military that was poorly prepared and led.","(MD0) At the end of the first world war, we saw a military that was poorly prepared and led. (MD0)",(MD0)We saw a military that was poorly provisioned and led at the end of the first world war.(MD0)
"The troopers mutinied, and we have proof that this has already happened.","Troops mutinied, and we have evidence that this may have occurred already.","(MD0) The troopers mutinied, and we have proof that this has already happened. (MD0)",(MD0)Troops mutinied and we have evidence this already has happened.(MD0)
The army that came back from Afghanistan went to a world where the Taliban was crumbling.,The army that came back from Afghanistan went to a world where the country was crumbling.,(MD0) The army that came back from Afghanistan went to a world where the Taliban was crumbling. (MD0),(MD0)The army that came back from Afghanistan came to a nation that was falling apart.(MD0)
This is how the Baltic States and Ukraine came to be independent.,This is how the Baltic States and Ukraine came to be independent.,(MD0) This is how the Baltic States and Ukraine came to be independent. (MD0),(MD0)This is how the Baltic States and Ukraine came to be independent.(MD0)
"The USSR could not afford to keep the lights on or the buckwheat on the shelves, as shown by the following diagram.",The USSR could not afford to keep the lights on or the buckwheat on the shelves.,"(MD0) The USSR could not afford to keep the lights on or the buckwheat on the shelves, as shown by the following diagram.","(MD0)The USSR could not keep the lights on, or the buckwheat on the shelves.(MD0)"
"For that matter, the sugar is the same as well.",The sugar is the subject of the discussion.,"(MD0) For that matter, the sugar is the same as well. (MD0)","(MD0)For that matter, the sugar.(MD0)"
The Russian economy is stumbling.,The Russian economy is wretched.,(MD0) The Russian economy is stumbling. (MD0),(MD0)The Russian economy is reeling.(MD0)
We know that the oligarchs are having a bad day because luxury products are no longer available in the country.,"We know that luxury products are no longer available on the market, so the oligarchs are having a bad day.",(MD0) We know that the oligarchs are having a bad day because luxury products are no longer available in the country. (MD0),(MD0)We know this perhaps the oligarchs are having a bad day since luxury goods are no longer in the market.(MD0)
But regular people are getting it.,"However, regular people are feeling it.",(MD0) But regular people are getting it. (MD0),(MD0)But regular people are feeling it.(MD0)
What is Putin doing? What is Putin doing?,What is Putin doing?,(MD0) What is Putin doing? (MD0) What is Putin doing? (MD0),(MD0)What is Putin doing?(MD0)
He has shut the country down and jailed the criminalized despite calling this war a war.,He has shut down the country and jailed even though this war is referred to as a war.,(MD0) He has shut the country down and jailed the criminalized despite calling this war a war. (MD0),"(MD0)He has closed the country to the world and criminalized even calling this war, a war.(MD0)"
This could be the start of a second Russian revolution.,This could be the start of a second Russian revolution.,(MD0) This could be the start of a second Russian revolution. (MD0),(MD0)This could be setting the ground for a second Russian revolution.(MD0)
The dynamic is in play.,The game is in motion.,(MD0) The dynamic is in play. (MD0),(MD0)The dynamic is in play.(MD0)
"Of course, no revolution starts from nothing.","Of course, no revolution starts from zero.","(MD0) Of course, no revolution starts from nothing. (MD0)","(MD0)Of course, no revolution starts from nothing.(MD0)"
The 1917 Revolution was also a result of 1905's disastrous Russo-Japanese war.,The 1917 revolution was also a result of 1905's devastating Russo-Japanese war.,(MD0) The 1917 Revolution was also a result of 1905's disastrous Russo-Japanese war. (MD0),(MD0)The 1917 revolution was also a consequence of the disastrous Russo-Japanese war of 1905.(MD0)
Pressure cookers tend to move faster these days.,Pressure cookers are getting faster these days.,(MD0) Pressure cookers tend to move faster these days. (MD0),(MD0)These days pressure cookers tend to move faster.(MD0)
Russia is one right now.,Russia is one right now.,(MD0) Russia is one right now. (MD0),(MD0)Russia is one right now.(MD0)
"This is a screenshot of the tension between Radio Free Europe, which is an example of this tension:","This is a sample of this tension from Radio Free Europe, and it is an example of this tension:","(MD0) This is a screenshot of the tension between (MD1)Radio Free Europe(MD1), which is an example of this tension: (MD0)","(MD0)This is from (MD1)Radio Free Europe(MD1), and provides an example of this tension:(MD0)"
The governor of Maryland answered in University.,"In University, the governor answered.",(MD0) The governor of Maryland answered in University. (MD0),(MD0)The governor answered in University.(MD0)
This is in the Far East.,This is in the Far East.,(MD0) This is in the Far East. (MD0),(MD0)This is in the Far East.(MD0)
In Rural Siberia,In Rural Siberia.,(MD0) In Rural Siberia (MD0),(MD0)In Rural Siberia.(MD0)
"These were cops, not soldiers.","These were cops, not soldiers.","(MD0) These were cops, not soldiers. (MD0)","(MD0)These were cops, not soldiers.(MD0)"
MD0) The fact that whole towns are burying their bodies means that Russia is unable to deny that this tragedy exists.,"Because whole towns are burying their bodies, Russia cannot deny that this tragedy exists.",MD0) The fact that whole towns are burying their bodies means that Russia is unable to deny that this tragedy exists. (MD0),"(MD0)The fact that whole towns are burying their dead, means that Russia cannot hide the level of this disaster.(MD0)"
The future of the Russian Federation is much less developed than the previous one.,The future of Russia is a much more weakened Russian Federation.,(MD0) The future of the Russian Federation is much less developed than the previous one. (MD0),(MD0)The future is a far more diminished Russian Federation.(MD0)
This is Putin's legacy.,This is Putin's legacy.,(MD0) This is Putin's legacy. (MD0),(MD0)This is Putin’s legacy.(MD0)
"As it currently exists, it is uncertain if the country will survives or not, as it currently exists.","It's either the country lives or not, as it currently exists, it's a good question.","(MD0) As it currently exists, it is uncertain if the country will survives or not, as it currently exists. (MD0)","(MD0)Whether the country survives, or not, as it presently exists, is a good question.(MD0)"
