source_with_markdown,source_without_markdown,target_without_markdown,target_with_markdown
"Why ask me about Slack? I run a design agency called [MetaLab](http://metalab.co/?utm_source=Medium&utm_medium=Post&utm_campaign=Slack%20Post). You may not have heard of us — we usually work behind the scenes — but I can pretty much guarantee that you’ve used something that we designed. In late 2013, Slack hired us to help them turn their early prototype into a polished product. We did the logo, the marketing site, and the web and mobile apps, all in just six weeks from start to finish. Apart from a few tweaks here and there, much of the product remains unchanged since the day we handed our designs off to the team at Slack.","Why ask me about Slack? I run a design agency called MetaLab. You may not have heard of us — we usually work behind the scenes — but I can pretty much guarantee that you’ve used something that we designed. In late 2013, Slack hired us to help them turn their early prototype into a polished product. We did the logo, the marketing site, and the web and mobile apps, all in just six weeks from start to finish. Apart from a few tweaks here and there, much of the product remains unchanged since the day we handed our designs off to the team at Slack."," In late 2013, Slack hired us to help them turn their early prototype into a polished product. We did the logo, the marketing site, and the web and mobile apps, all in just six weeks from start to finish.","In late 2013, Slack hired us at [MetaLab](http://metalab.co/?utm_source=Medium&utm_medium=Post&utm_campaign=Slack%20Post) to help them turn their early prototype into a polished product. We did the logo, the marketing site, and the web and mobile apps, all in just six weeks from start to finish."
"In almost ten years of business, Slack is, without a doubt, our most successful project to date — and [we’ve worked with some big names](http://metalab.co/?utm_source=Medium&utm_medium=Post&utm_campaign=Slack%20Post). It’s now valued at $2.8 billion, has over 200,000 paying users, and our favourite part: people can’t stop talking about its great design. But I wouldn’t have predicted that going into it.

In July 2013, I got an email from Stewart Butterfield. I recognized his name immediately. I was a big fan of Flickr, which he co-founded and sold to Yahoo, and we were both based in the Pacific Northwest. He had big news: he was shutting down [Glitch](http://en.wikipedia.org/wiki/Glitch_(video_game)), the game he’d started in 2009, and was working on something new. He wanted us to design his new team chat app.","In almost ten years of business, Slack is, without a doubt, our most successful project to date — and we’ve worked with some big names. It’s now valued at $2.8 billion, has over 200,000 paying users, and our favourite part: people can’t stop talking about its great design. But I wouldn’t have predicted that going into it. In July 2013, I got an email from Stewart Butterfield. I recognized his name immediately. I was a big fan of Flickr, which he co-founded and sold to Yahoo, and we were both based in the Pacific Northwest. He had big news: he was shutting down Glitch, the game he’d started in 2009, and was working on something new. He wanted us to design his new team chat app."," Slack is now valued at $2.8 billion, has over 200,000 paying users. It's the most successful project to date.","Slack is now valued at $2.8 billion, has over 200,000 paying users. It's the most successful project to date."
"I groaned to myself. We were avid users of [Campfire](http://www.campfirenow.com), and had tested out the many copycat products that had come out over the years. I felt the problem had already been solved. It was a crowded market and knew it would be difficult to make his product stand out from the crowd. Regardless, I was excited to get a chance to work with Stewart, and thought it would be fun to solve some of the issues that we’d had with Campfire. We shook hands, kicked things off, and rolled up our sleeves.

When he pulled back the curtain and shared their early prototype on day one, it looked like a hacked together version of IRC in the browser. Barebones and stark. Just six weeks later, we had done some of the best work of our careers. So, how did we get from hacky browser IRC to the Slack we all know and love?","I groaned to myself. We were avid users of Campfire, and had tested out the many copycat products that had come out over the years. I felt the problem had already been solved. It was a crowded market and knew it would be difficult to make his product stand out from the crowd. Regardless, I was excited to get a chance to work with Stewart, and thought it would be fun to solve some of the issues that we’d had with Campfire. We shook hands, kicked things off, and rolled up our sleeves. When he pulled back the curtain and shared their early prototype on day one, it looked like a hacked together version of IRC in the browser. Barebones and stark. Just six weeks later, we had done some of the best work of our careers. So, how did we get from hacky browser IRC to the Slack we all know and love?","Campfire is the latest version of the hacky browser chat-chat app. The app was created by the company's founder, Stewart Stewart.","[Campfire](http://www.campfirenow.com) is the latest version of the hacky browser chat-chat app. The app was created by the company's founder, Stewart Stewart."
"Figuring out why something is successful in retrospect is like trying to describe the taste of water. It’s _hard_. We aren’t big on process. We prefer to just put our heads down and design stuff, iterating over and over again until something feels right. Slack was no different — there wasn’t any magic process we used — but looking back, I’ve identified a few key things that helped make it the huge success it’s become.

When you hear people talk about Slack they often say it’s “fun”. Using it doesn’t feel like work. It feels like _slacking_ _off_, even when you’re using it to get stuff done. But when you look under the hood, it’s almost identical to every other chat app. You can create a room, add people, share files, and chat as a group or direct message one another. So, what makes Slack different? Three key things.","Figuring out why something is successful in retrospect is like trying to describe the taste of water. It’s hard. We aren’t big on process. We prefer to just put our heads down and design stuff, iterating over and over again until something feels right. Slack was no different — there wasn’t any magic process we used — but looking back, I’ve identified a few key things that helped make it the huge success it’s become. When you hear people talk about Slack they often say it’s “fun”. Using it doesn’t feel like work. It feels like slacking off, even when you’re using it to get stuff done. But when you look under the hood, it’s almost identical to every other chat app. You can create a room, add people, share files, and chat as a group or direct message one another. So, what makes Slack different? Three key things."," Slack was no different - there wasn’t any magic process we used. But looking back, I’ve identified a few key things that helped make it the huge success it’s become.","Slack was no different - there wasn’t any magic process we used. But looking back, I’ve identified a few key things that helped make it the huge success it’s become."
"To get attention in a crowded market, we had to find a way to get people’s attention. Most enterprise software looks like a cheap 70's prom suit — muted blues and greys everywhere — so, starting with the logo, we made Slack look like a confetti cannon had gone off. Electric blue, yellows, purples, and greens all over. We gave it the color scheme of a video game, not an enterprise collaboration product.

**Here’s** [**HipChat**](http://www.hipchat.com) **next to Slack:**","To get attention in a crowded market, we had to find a way to get people’s attention. Most enterprise software looks like a cheap 70's prom suit — muted blues and greys everywhere — so, starting with the logo, we made Slack look like a confetti cannon had gone off. Electric blue, yellows, purples, and greens all over. We gave it the color scheme of a video game, not an enterprise collaboration product. Here’s HipChat next to Slack:"," Most enterprise software looks like a cheap 70's prom suit. We gave it the color scheme of a video game, not an enterprise collaboration product.","Most enterprise software looks like a cheap 70's prom suit. We gave it the color scheme of a video game, not an enterprise collaboration product."
"Which would you rather use? They both do exactly the same thing, but one feels dull and the other feels electric and playful. The difference? Vibrant colors, a curvy sans-serif typeface, friendly icons, and smiling faces and emojis everywhere.","Which would you rather use? They both do exactly the same thing, but one feels dull and the other feels electric and playful. The difference? Vibrant colors, a curvy sans-serif typeface, friendly icons, and smiling faces and emojis everywhere."," Vibrant colors, a curvy sans-serif typeface, friendly icons, and smiling faces and emojis everywhere.","Which would you rather use? Vibrant colors, a curvy sans-serif typeface, friendly icons, and smiling faces and emojis everywhere."
"Slack is also chock full of fun little interactions. The logo animates in a burst of colors as it loads; modals slide down from the top of the screen; changing teams flips the screen around like a deck of cards. Throughout the entire product, everything seems to playfully jump around and pop off the screen. Each of these interactions is designed not only to help the user understand what’s going on, but put a little smile on their face.","Slack is also chock full of fun little interactions. The logo animates in a burst of colors as it loads; modals slide down from the top of the screen; changing teams flips the screen around like a deck of cards. Throughout the entire product, everything seems to playfully jump around and pop off the screen. Each of these interactions is designed not only to help the user understand what’s going on, but put a little smile on their face.",Slack is also chock full of fun little interactions.,Slack is also chock full of fun little interactions.
"Have you ever walked into a house and had an indescribable feeling that it just feels cheap? A professional builder would walk in and give you a laundry list of shortcomings: uneven drywall, gappy hardwood floors, hollow-core doors, and cheap hardware. But most people just have a gut reaction. Like a well-built home, great software focuses on giving its users hundreds of small, satisfying interactions. A great transition in a mobile app gives us the same feeling we get from using a well-made door handle on a solid oak door — you may not be able to put your finger on it, but man, does the house ever feel well built. Slack is really fun to use. It feels like a well-built house.","Have you ever walked into a house and had an indescribable feeling that it just feels cheap? A professional builder would walk in and give you a laundry list of shortcomings: uneven drywall, gappy hardwood floors, hollow-core doors, and cheap hardware. But most people just have a gut reaction. Like a well-built home, great software focuses on giving its users hundreds of small, satisfying interactions. A great transition in a mobile app gives us the same feeling we get from using a well-made door handle on a solid oak door — you may not be able to put your finger on it, but man, does the house ever feel well built. Slack is really fun to use. It feels like a well-built house."," Slack is really fun to use. It feels like a well-built house. Great software focuses on giving users hundreds of small, satisfying interactions."," Slack is really fun to use. It feels like a well-built house. Great software focuses on giving users hundreds of small, satisfying interactions."
"But it’s not just how Slack looks and feels, it’s also about what it says. In Slack, every piece of copy is seen as an opportunity to be playful. Where a competitor might just have a loading spinner, Slack has funny quotes like, “Need to whip up a dessert in a hurry? Dump a bag of oreos on the floor and eat the oreos off the floor like an animal.” A strange little injection of fun into an otherwise boring day. Slack acts like your wise-cracking robot sidekick, instead of the boring enterprise chat tool it would otherwise be. Like _Interstellar’s_ TARS, compared to _2001: A Space Odyssey’s_ HAL9000:

**Slack:**","But it’s not just how Slack looks and feels, it’s also about what it says. In Slack, every piece of copy is seen as an opportunity to be playful. Where a competitor might just have a loading spinner, Slack has funny quotes like, “Need to whip up a dessert in a hurry? Dump a bag of oreos on the floor and eat the oreos off the floor like an animal.” A strange little injection of fun into an otherwise boring day. Slack acts like your wise-cracking robot sidekick, instead of the boring enterprise chat tool it would otherwise be. Like Interstellar’s TARS, compared to 2001: A Space Odyssey’s HAL9000: Slack:"," Slack acts like your wise-cracking robot sidekick, instead of the boring enterprise chat tool it would otherwise be."," Slack acts like your wise-cracking robot sidekick, instead of the boring enterprise chat tool it would otherwise be."
**Their competitors:**,Their competitors:,Their competitors are their competitors.,**Their competitors:**
Even [Slack’s Twitter account](https://twitter.com/slackhq) sounds more like an emoji-loving comedian than a billion dollar enterprise software company:,Even Slack’s Twitter account sounds more like an emoji-loving comedian than a billion dollar enterprise software company:,Slack's Twitter account sounds more like an emoji-loving comedian than a billion dollar enterprise software company.,[Slack’s Twitter account](https://twitter.com/slackhq) sounds more like an emoji-loving comedian than a billion dollar enterprise software company.
"We humans have a tendancy to anthropomorphize just about everything, from our pets to inanimate objects. We think cars look like they are smiling, or that a lamp “looks lonely over there”. With Slack, a bubbly, bright UI, delightful interactions, and hilarious copywriting come together to create a personality. A personality which has triggered something powerful in its users: they care about it. They want to share it with others. It feels like a favorite co-worker, not a tool or utility.","We humans have a tendancy to anthropomorphize just about everything, from our pets to inanimate objects. We think cars look like they are smiling, or that a lamp “looks lonely over there”. With Slack, a bubbly, bright UI, delightful interactions, and hilarious copywriting come together to create a personality. A personality which has triggered something powerful in its users: they care about it. They want to share it with others. It feels like a favorite co-worker, not a tool or utility."," With Slack, a bubbly, bright UI, delightful interactions, and hilarious copywriting come together to create a personality. A personality which has triggered something powerful in its users: they care about it. It feels like a favorite co-worker, not a tool or utility.","With Slack, a bubbly, bright UI, delightful interactions, and hilarious copywriting come together to create a personality. A personality which has triggered something powerful in its users: they care about it. It feels like a favorite co-worker, not a tool or utility."
"As a kid, I used to love this burger chain called [White Spot](http://www.whitespot.ca). It started out as a tiny shack at a baseball stadium and over the past 85 years it has grown into a huge chain with locations all over Canada. The secret to its success? The “Triple-O” secret sauce that they put on all their burgers.

I used to bug my parents to let us go to White Spot instead of having another gross lovingly home-cooked meal. That is, until my Dad dropped a bomb on me. “We should just make burgers at home,” he said “you know that sauce is just mayonnaise, ketchup, and a bit of relish, right?” Sure enough, we made it at home, and confirmed that their so-called secret sauce was a bunch of grocery store condiments mixed together. Anyone could make it, but few people knew how or bothered. Instead they chalked it up to a some crazy secret recipe.","As a kid, I used to love this burger chain called White Spot. It started out as a tiny shack at a baseball stadium and over the past 85 years it has grown into a huge chain with locations all over Canada. The secret to its success? The “Triple-O” secret sauce that they put on all their burgers. I used to bug my parents to let us go to White Spot instead of having another gross lovingly home-cooked meal. That is, until my Dad dropped a bomb on me. “We should just make burgers at home,” he said “you know that sauce is just mayonnaise, ketchup, and a bit of relish, right?” Sure enough, we made it at home, and confirmed that their so-called secret sauce was a bunch of grocery store condiments mixed together. Anyone could make it, but few people knew how or bothered. Instead they chalked it up to a some crazy secret recipe."," The secret sauce that they put on all their burgers is the ""Triple-O"" secret sauce. White Spot has grown into a huge burger chain with locations all over Canada.","The secret sauce that [White Spot](http://www.whitespot.ca) puts on all their burgers is the ""Triple-O"" secret sauce. They have grown into a huge burger chain with locations all over Canada."
"Slack’s secret sauce is no different. Sure, it’s hard to get the mix of ingredients just right, but it doesn’t have any features that Hipchat and Campfire can’t build. It’s the same enterprise chat client underneath, but it’s playful, fun to use, and all that comes together to make it feel like a character in your life. It’s TARS, not HAL9000.

Over the past couple months, their competitors have caught on. They’ve all started using casual copy and trying to bone up on design, but it’s a little like your uncle trying to do the macarena. It’s too little too late. Everyone has picked their robot sidekick. Slack has stolen the show.

_Andrew runs_ [_MetaLab_](http://metalab.co/?utm_source=Medium&utm_medium=Post&utm_campaign=Slack%20Post)_. You should_ [_follow him on Twitter_](http://www.twitter.com/awilkinson)_._","Slack’s secret sauce is no different. Sure, it’s hard to get the mix of ingredients just right, but it doesn’t have any features that Hipchat and Campfire can’t build. It’s the same enterprise chat client underneath, but it’s playful, fun to use, and all that comes together to make it feel like a character in your life. It’s TARS, not HAL9000. Over the past couple months, their competitors have caught on. They’ve all started using casual copy and trying to bone up on design, but it’s a little like your uncle trying to do the macarena. It’s too little too late. Everyone has picked their robot sidekick. Slack has stolen the show. Andrew runs MetaLab. You should follow him on Twitter.","Slack's secret sauce is no different, but it doesn't have any features that Hipchat and Campfire can’t build. It’s the same enterprise chat client underneath, but is playful, fun to use.","Slack's secret sauce is no different, but it doesn't have any features that Hipchat and Campfire can’t build. It’s the same enterprise chat client underneath, but is playful, fun to use."
"_“How could she do something like this to me?”_ said a voice in my head. All the time. Every day.

Back in 2011, when everything had gradients, iOS icons made sense, and people used deodorants, I was stuck in middle of a pretty bad depression due to my divorce.

Thankfully, I think I was smart enough (and had great people around me) so I found ways to stay afloat.

One day I walk into the office, and my day begins at my computer screen. It was all great, until I saw this message:","“How could she do something like this to me?” said a voice in my head. All the time. Every day. Back in 2011, when everything had gradients, iOS icons made sense, and people used deodorants, I was stuck in middle of a pretty bad depression due to my divorce. Thankfully_,_ I think I was smart enough (and had great people around me) so I found ways to stay afloat. One day I walk into the office, and my day begins at my computer screen. It was all great, until I saw this message:"," Back in 2011, when everything had gradients, iOS icons made sense, and people used deodorants, I was stuck in middle of a pretty bad depression due to my divorce. Thankfully, I think I was smart enough (and had great people around me) so I found ways to stay afloat.","Back in 2011, when everything had gradients, iOS icons made sense, and people used deodorants, I was stuck in middle of a pretty bad depression due to my divorce. Thankfully, I think I was smart enough (and had great people around me) so I found ways to stay afloat."
"I’m breathing heavily. I’m staring at the mouse arrow.

I read this dumb message in my mind with _angry grandpa_ voice: **The password has expired_._**

At my workplace, the _Microsoft_ _Exchange server_ is configured to ask _thousands of employees_ around the planet to change their passwords. Every 30 days.

Here is what’s annoying: The server forces us to use at least one **UPPERCASE** character, at least one **lowercase** **alphabetic** character, at least one **symbol** and at least one **number**. Oh, and the whole thing can’t be less than 8 characters. **And I can’t use any of the same passwords I’ve used in the last 3 months.**

I was furious that morning. Tuesday, 9:40 a.m. -It was so hot that my torso was already sweaty even though I just got to work. I was late. I was still wearing my helmet. I think I forgot breakfast. Something tastes like cigarette in my mouth. I need to get stuff done before my 10 a.m. meeting and all I have in front of me is a huge waste of my time.","I’m breathing heavily. I’m staring at the mouse arrow. I read this dumb message in my mind with angry grandpa voice: The password has expired_._ At my workplace, the Microsoft Exchange server is configured to ask thousands of employees around the planet to change their passwords. Every 30 days. Here is what’s annoying: The server forces us to use at least one UPPERCASE character, at least one lowercase alphabetic character, at least one symbol and at least one number. Oh, and the whole thing can’t be less than 8 characters. And I can’t use any of the same passwords I’ve used in the last 3 months. I was furious that morning. Tuesday, 9:40 a.m. -It was so hot that my torso was already sweaty even though I just got to work. I was late. I was still wearing my helmet. I think I forgot breakfast. Something tastes like cigarette in my mouth. I need to get stuff done before my 10 a.m. meeting and all I have in front of me is a huge waste of my time."," Microsoft Exchange server is configured to ask thousands of employees around the planet to change their passwords every 30 days. The server forces us to use at least one UPPERCASE character, one lowercase alphabetic character, at least 1 symbol and at least a number.","_Microsoft_ _Exchange server_ is configured to ask thousands of employees around the planet to change their passwords every 30 days. The server forces us to use at least one **UPPERCASE** character, one **lowercase** **alphabetic** character, at least 1 **symbol** and at least a **number**."
"Then, letting all the frustration go, I remembered a tip I heard from my former boss, [Rasmus](https://twitter.com/rasmusrasmusson). Somehow he combined to-do lists with passwords, and I thought to use an augmented variation of that.","Then, letting all the frustration go, I remembered a tip I heard from my former boss, Rasmus. Somehow he combined to-do lists with passwords, and I thought to use an augmented variation of that.",Former boss combined to-do lists with passwords with passwords.,I remembered that my former boss combined to-do lists with passwords.
"It was obvious that I couldn’t focus on getting things done with my current lifestyle and mood. Of course, there were clear indicators of what I needed to do -or what I had to achieve- in order to regain control of my life, but we often don’t pay attention to these clues.

My password became the indicator. My password reminded me that I shouldn’t let myself be victim of my recent break up, and that I’m strong enough to do something about it.

_My password became:_ “**Forgive@h3r**”

During my meeting I kept thinking on what I just did. Something drew a smirk on my face.

During the rest of week, I had to type this password several times a day. Each time my computer would lock. Each time my screensaver with her photo would appear. Each time I would come back from eating lunch alone.

In my mind, I went with the mantra that _I didn’t type a password_. In my mind, _I_ _was reminding myself to “_**_Forgive her_**_”._","It was obvious that I couldn’t focus on getting things done with my current lifestyle and mood. Of course, there were clear indicators of what I needed to do -or what I had to achieve- in order to regain control of my life, but we often don’t pay attention to these clues. My password became the indicator. My password reminded me that I shouldn’t let myself be victim of my recent break up, and that I’m strong enough to do something about it. My password became: “Forgive@h3r” During my meeting I kept thinking on what I just did. Something drew a smirk on my face. During the rest of week, I had to type this password several times a day. Each time my computer would lock. Each time my screensaver with her photo would appear. Each time I would come back from eating lunch alone. In my mind, I went with the mantra that I didn’t type a password. In my mind, I was reminding myself to “Forgive her”.",My password became the indicator. My password reminded me that I shouldn't let myself be victim of my recent break up.,My password became the indicator. My password reminded me that I shouldn't let myself be victim of my recent break up.
"That simple action changed the way I looked at my ex wife. That constant reminder that I should forgive her, led me to accept the way things happened at the end of my marriage, and embrace a new way of dealing with the depression that I was drowning into.

In the following days, my mood improved drastically. By the end of the 2nd week, I noticed that this _password_ became less powerful, and it started to lose its effect. A quick refresh of this ‘mantra’ helped me. I thought to myself **I forgive her** as I typed it, every time. The healing effect of it came back almost immediately.

One month later, my dear exchange server asked me again to renew my password. I thought about the next thing I had to get done.

My password became **Quit@smoking4ever**

And guess what happened. I’m not kidding you. I quit smoking overnight.

I have a ton of witnesses who could not believe how I did it. I had tried books, e-cigarettes, patches, etc. Nothing worked, but this one trick did.","That simple action changed the way I looked at my ex wife. That constant reminder that I should forgive her, led me to accept the way things happened at the end of my marriage, and embrace a new way of dealing with the depression that I was drowning into. In the following days, my mood improved drastically. By the end of the 2nd week, I noticed that this password became less powerful, and it started to lose its effect. A quick refresh of this ‘mantra’ helped me. I thought to myself I forgive her as I typed it, every time. The healing effect of it came back almost immediately. One month later, my dear exchange server asked me again to renew my password. I thought about the next thing I had to get done. My password became Quit@smoking4ever And guess what happened. I’m not kidding you. I quit smoking overnight. I have a ton of witnesses who could not believe how I did it. I had tried books, e-cigarettes, patches, etc. Nothing worked, but this one trick did."," A quick refresh of this ‘mantra’ helped me. I thought to myself I forgive her as I typed it, every time. The healing effect of it came back almost immediately. One month later, my dear exchange server asked me again to renew"," A quick refresh of this ‘mantra’ helped me. I thought to myself I forgive her as I typed it, every time. The healing effect of it came back almost immediately."
"This password was a painful one to type during that month, but doing it helped me to _yell at myself_ in my mind, as I typed that statement. It motivated me to follow my monthly goal.

One month later, my password became **Save4trip@thailand**

Guess where I went 3 months later. Thailand.

With savings.","This password was a painful one to type during that month, but doing it helped me to yell at myself in my mind, as I typed that statement. It motivated me to follow my monthly goal. One month later, my password became Save4trip@thailand Guess where I went 3 months later. Thailand. With savings."," A month later, my password became Save4trip@thailand Guess where I went 3 months later."," A month later, my password became **Save4trip@thailand**. Guess where I went 3 months later. Thailand."
"Seeing how these _reminders_ helped to materialize my goals kept me motivated and excited. I’ll admit this: It is _difficult_ to come up with your next goal. Sometimes it’s hard to identify what we need to change, or where we need to walk towards to.

**Make sure your goals are realistic**, and avoid being too dreamy when you phrase them. It’s important to build a _metric_ around your goal so you can measure its success along the way. For example, if you’re on a hunt to get a better job, don’t use things like _BeTh3NumberOne!_ but instead go with _KickASS@LinkedIn!_ and use the new connections, groups and number of resumes sent as a metric to validate your efforts to land a new job. Being the number one is great, but being able to measure _where you are_ and _where you’re going_ is important, specially when there’s a big gap between those two points.","Seeing how these reminders helped to materialize my goals kept me motivated and excited. I’ll admit this: It is difficult to come up with your next goal. Sometimes it’s hard to identify what we need to change, or where we need to walk towards to. Make sure your goals are realistic, and avoid being too dreamy when you phrase them. It’s important to build a metric around your goal so you can measure its success along the way. For example, if you’re on a hunt to get a better job, don’t use things like BeTh3NumberOne! but instead go with KickASS@LinkedIn! and use the new connections, groups and number of resumes sent as a metric to validate your efforts to land a new job. Being the number one is great, but being able to measure where you are and where you’re going is important, specially when there’s a big gap between those two points."," Make sure your goals are realistic, and avoid being too dreamy when you phrase them. Being the number one is great, but being able to measure where you are and where you're going is important.","**Make sure your goals are realistic**, and avoid being too dreamy when you phrase them. Being the number one is great, but being able to measure _where you are_ and _where you're going_ is important."
"**So why does this trick work?** In its simplest form, a password enables you to get somewhere, in your digital world. Say, to copy a file, to unlock a computer, to email somebody. This feeling of micro achievements, this thought of _‘my mantra helps me to get things done’_ can build up a momentum that motivates you to stay focused on achieving your monthly goals. It’s a tiny habit that has the power to transform.

It worked with me. I’m sure it will work with you.

This is how I learned that I can truly **change my life**, if I play it right. I kept doing this repeatedly month after month, with great results.

Here is a simplified extract of what some of my passwords have been in the last 2 years, so you get an idea of how my life has changed, thanks to this method:","So why does this trick work? In its simplest form, a password enables you to get somewhere, in your digital world. Say, to copy a file, to unlock a computer, to email somebody. This feeling of micro achievements, this thought of ‘my mantra helps me to get things done’ can build up a momentum that motivates you to stay focused on achieving your monthly goals. It’s a tiny habit that has the power to transform. It worked with me. I’m sure it will work with you. This is how I learned that I can truly change my life, if I play it right. I kept doing this repeatedly month after month, with great results. Here is a simplified extract of what some of my passwords have been in the last 2 years, so you get an idea of how my life has changed, thanks to this method:"," In its simplest form, a password enables you to get somewhere, in your digital world. Say, to copy a file, to unlock a computer, to email somebody. This feeling of micro achievements can build up a momentum that motivates you to stay focused on achieving your monthly goals.","In its simplest form, a password enables you to get somewhere, in your digital world. Say, to copy a file, to unlock a computer, to email somebody. This feeling of micro achievements can build up a momentum that motivates you to stay focused on achieving your monthly goals."
"*   Forgive@her ← _to my ex-wife, who started it all._
*   Quit@smoking4ever ← _it worked._
*   Save4trip@thailand ← _it worked._
*   Eat2times@day ← _it never worked, still fat._
*   Sleep@before12 ← _it worked._
*   **Ask@her4date** ← _it worked. I fell in love again._
*   No@drinking2months ← _it worked. It felt great!_
*   MovE@togeth3r ← _it worked._
*   Get@c4t! ← _it worked. We have a beautiful cat._
*   Facetime2mom@sunday ← _it worked. I talk with my mom every week._

And the one for last month:

*   **Save4@ring** ← _Yep. Life is gonna change again, soon._

I still await very anxiously each month so I can change my password into a phrase that motivates me to focus on something that I need to get done.

This method has consistently worked for me for _the last 2 years_, and I have shared it with a few close friends and relatives. I didn’t think it was a breakthrough in tiny-habits but it did have a great impact in my life, so I thought to share it with you all.","Forgive@her ← to my ex-wife, who started it all. * Quit@smoking4ever ← it worked. * Save4trip@thailand ← it worked. * Eat2times@day ← it never worked, still fat. * Sleep@before12 ← it worked. * Ask@her4date ← it worked. I fell in love again. * No@drinking2months ← it worked. It felt great! * MovE@togeth3r ← it worked. * Get@c4t! ← it worked. We have a beautiful cat. * Facetime2mom@sunday ← it worked. I talk with my mom every week. And the one for last month: * Save4@ring ← Yep. Life is gonna change again, soon. I still await very anxiously each month so I can change my password into a phrase that motivates me to focus on something that I need to get done. This method has consistently worked for me for the last 2 years, and I have shared it with a few close friends and relatives. I didn’t think it was a breakthrough in tiny-habits but it did have a great impact in my life, so I thought to share it with you all.",The method has consistently worked for me for the last 2 years. I didn't think it was a breakthrough in tiny-habits but it did have a great impact in my life.,The method has consistently worked for me for _the last 2 years_. I didn't think it was a breakthrough in tiny-habits but it did have a great impact in my life.
"Give it a try! Write these statements with the right mindset and attitude, and you’ll change your life. [Let me know how it works for you!](mailto:mauricio.estrella@gmail.com)

Remember, for added security, try to be more complex with the words. Add symbols or numbers, make it longer, and scramble a bit the beginning or the ending of your password string. S4f3ty\_f1rst!

Pass the tip to those who might need it.","Give it a try! Write these statements with the right mindset and attitude, and you’ll change your life. Let me know how it works for you! Remember, for added security, try to be more complex with the words. Add symbols or numbers, make it longer, and scramble a bit the beginning or the ending of your password string. S4f3ty_f1rst! Pass the tip to those who might need it."," Add symbols or numbers, make it longer, and scramble a bit the beginning or the ending of your password string. Pass the tip to those who might need it.","Add symbols or numbers, make it longer, and scramble a bit the beginning or the ending of your password string. Pass the tip to those who might need it."
"— [_Tweet_](http://twitter.com/manicho) _or_ [_email me_](mailto:mauricio.estrella@gmail.com)_, and spread the ☺ around._

_Plus, if you’re interested in more of this,_ **_I’m writing a book!_** _Subscribe for updates_ [_on my site_](http://mauricioestrella.com/stories)_._","— Tweet or email me, and spread the ☺ around. Plus, if you’re interested in more of this, I’m writing a book! Subscribe for updates on my site."," The author of a new book, ""I'm writing a book,"" is currently working on a book.","**_I'm writing a book!_**, so please _subscribe for updates_ [_on my site_](http://mauricioestrella.com/stories)_._"
"Until July of 2014, I worked for Amazon. As a relatively successful young book editor, I’d been hired by the company in 2011 to help launch its New York City-based book publishing outpost created to commission original content by name writers. The media landscape was continuing to evolve; everyone was in everyone else’s lane. It was a big opportunity, one many people inside the publishing industry told me privately I would be crazy not to take. I was drawn to Amazon’s spirit of innovation, its agility, and its culture of excellence. I was about to start Columbia’s Executive MBA program when the offer came in. Why not, as the saying goes, “earn to learn,” I thought. I took the job.","Until July of 2014, I worked for Amazon. As a relatively successful young book editor, I’d been hired by the company in 2011 to help launch its New York City-based book publishing outpost created to commission original content by name writers. The media landscape was continuing to evolve; everyone was in everyone else’s lane. It was a big opportunity, one many people inside the publishing industry told me privately I would be crazy not to take. I was drawn to Amazon’s spirit of innovation, its agility, and its culture of excellence. I was about to start Columbia’s Executive MBA program when the offer came in. Why not, as the saying goes, “earn to learn,” I thought. I took the job.","Until July of 2014, I worked for Amazon.","Until July of 2014, I worked for Amazon."
"I was dazzled by the people I met in different pockets of the company those first few months. They were all smart. They were all lightning-fast. And, I quickly noted, when it came to leadership positions, they were almost all men. “So, who’s our Sheryl Sandberg?” I asked a VP. He cited General Counsel Michelle Wilson, the sole woman on Jeff Bezos’s executive team. The next year, in 2012, Wilson left the company to take maternity leave. She never [returned](http://allthingsd.com/20130206/amazons-executive-team-is-shrinking/).

In 2013, during my second year at Amazon, I had a baby of my own. Six weeks after my daughter was born, I was diagnosed with cancer. I was given detailed instructions by my oncologist’s staff on how to “pump and dump” my breast milk for 24 hours to prevent my daughter from ingesting radioactive matter. There I was, soothing my infant, unsure of whether or not I would be around to see her first birthday.","I was dazzled by the people I met in different pockets of the company those first few months. They were all smart. They were all lightning-fast. And, I quickly noted, when it came to leadership positions, they were almost all men. “So, who’s our Sheryl Sandberg?” I asked a VP. He cited General Counsel Michelle Wilson, the sole woman on Jeff Bezos’s executive team. The next year, in 2012, Wilson left the company to take maternity leave. She never returned. In 2013, during my second year at Amazon, I had a baby of my own. Six weeks after my daughter was born, I was diagnosed with cancer. I was given detailed instructions by my oncologist’s staff on how to “pump and dump” my breast milk for 24 hours to prevent my daughter from ingesting radioactive matter. There I was, soothing my infant, unsure of whether or not I would be around to see her first birthday."," In 2013, during her second year at Amazon, she had a baby of her own. Six weeks after her daughter was born, she was diagnosed with cancer.","In 2013, during my second year at Amazon, I had a baby of my own. Six weeks after my daughter was born, I was diagnosed with cancer."
